DHSID,DHSYEAR,DHSCLUST,LATNUM,LONGNUM,URBAN_RURA
AL200800000435,2008,435,40.486347,19.497856,R
AL200800000436,2008,436,40.52463,19.472876,R
AL200800000437,2008,437,40.386894,19.70755,R
AL200800000440,2008,440,40.087006,19.78317,R
AL200800000442,2008,442,40.45921,19.483227,U
AL200800000443,2008,443,40.464195,19.473827,U
AL201700000002,2017,2,40.706554,19.928871,U
AL201700000009,2017,9,40.697414,19.966763,U
AL201700000017,2017,17,40.707943,19.95667,U
AL201700000019,2017,19,40.767765,19.870724,U
AL201700000031,2017,31,40.788773,19.765255,R
AL201700000032,2017,32,40.79722,19.817915,R
AL201700000036,2017,36,40.68388,19.974596,R
AL201700000039,2017,39,40.7676,19.953379,R
AL201700000042,2017,42,40.788597,19.805613,R
AL201700000044,2017,44,40.659008,20.020761,R
AL201700000045,2017,45,40.612514,19.925415,R
AL201700000046,2017,46,40.744896,19.873325,R
AL201700000047,2017,47,40.67464,20.009392,R
AL201700000048,2017,48,40.630264,20.06704,R
AL201700000049,2017,49,40.732624,19.80141,R
AL201700000051,2017,51,40.85324,19.881075,R
AL201700000058,2017,58,41.493034,20.215973,U
AL201700000062,2017,62,41.695297,20.422209,U
AL201700000063,2017,63,41.687122,20.427711,U
AL201700000067,2017,67,41.682228,20.428999,U
AL201700000069,2017,69,41.607407,20.012325,U
AL201700000070,2017,70,41.601974,20.019474,U
AL201700000071,2017,71,41.622845,20.018599,U
AL201700000072,2017,72,41.613274,19.99977,U
AL201700000075,2017,75,41.479176,20.205498,R
AL201700000079,2017,79,41.475372,20.465517,R
AL201700000086,2017,86,41.706062,20.386585,R
AL201700000088,2017,88,41.75216,20.22423,R
AL201700000089,2017,89,41.62119,20.512833,R
AL201700000096,2017,96,41.65525,20.431751,R
AL201700000102,2017,102,41.529705,20.064259,R
AL201700000103,2017,103,41.463585,20.091682,R
AL201700000107,2017,107,41.613125,20.023094,R
AL201700000112,2017,112,41.323536,19.46845,U
AL201700000117,2017,117,41.314224,19.446724,U
AL201700000119,2017,119,41.319206,19.456423,U
AL201700000121,2017,121,41.37846,19.54822,U
AL201700000124,2017,124,41.31105,19.483082,U
AL201700000125,2017,125,41.319904,19.491375,U
AL201700000130,2017,130,41.3221,19.45655,U
AL201700000134,2017,134,41.3251,19.466549,U
AL201700000137,2017,137,41.322445,19.471647,U
AL201700000138,2017,138,41.326424,19.442646,U
AL201700000140,2017,140,41.345856,19.441154,U
AL201700000141,2017,141,41.32628,19.445015,U
AL201700000142,2017,142,41.353252,19.569654,U
AL201700000145,2017,145,41.366997,19.544308,U
AL201700000147,2017,147,41.528873,19.792124,U
AL201700000148,2017,148,41.502094,19.799313,U
AL201700000152,2017,152,41.392227,19.539288,R
AL201700000156,2017,156,41.33356,19.43377,R
AL201700000158,2017,158,41.326115,19.509905,R
AL201700000163,2017,163,41.355534,19.544386,R
AL201700000164,2017,164,41.482193,19.721327,R
AL201700000168,2017,168,41.5439,19.706026,R
AL201700000175,2017,175,41.121593,20.067394,U
AL201700000176,2017,176,41.13612,20.075455,U
AL201700000186,2017,186,41.1077,20.104006,U
AL201700000192,2017,192,41.09788,20.058422,U
AL201700000197,2017,197,41.03749,19.74335,U
AL201700000198,2017,198,41.046207,19.752512,U
AL201700000204,2017,204,41.00223,20.233095,R
AL201700000205,2017,205,41.033737,19.977858,R
AL201700000206,2017,206,40.965233,20.084187,R
AL201700000210,2017,210,41.197823,20.079803,R
AL201700000212,2017,212,41.06361,19.942554,R
AL201700000213,2017,213,41.01538,19.948633,R
AL201700000220,2017,220,40.888927,20.122965,R
AL201700000224,2017,224,41.147488,20.360888,R
AL201700000231,2017,231,40.99885,19.803984,R
AL201700000232,2017,232,40.73501,19.550095,U
AL201700000235,2017,235,40.727398,19.570196,U
AL201700000238,2017,238,40.720024,19.570068,U
AL201700000241,2017,241,40.719395,19.56842,U
AL201700000246,2017,246,40.688522,19.604332,U
AL201700000249,2017,249,40.99866,19.53485,U
AL201700000252,2017,252,40.927864,19.712322,U
AL201700000255,2017,255,40.954212,19.713303,U
AL201700000256,2017,256,40.946953,19.69913,U
AL201700000267,2017,267,40.752476,19.592016,R
AL201700000269,2017,269,40.69512,19.60633,R
AL201700000270,2017,270,40.701065,19.573826,R
AL201700000275,2017,275,40.827873,19.753454,R
AL201700000276,2017,276,40.80084,19.647396,R
AL201700000281,2017,281,40.966724,19.542639,R
AL201700000285,2017,285,40.85845,19.650629,R
AL201700000286,2017,286,40.825832,19.759403,R
AL201700000287,2017,287,40.890354,19.536188,R
AL201700000288,2017,288,41.061256,19.626535,R
AL201700000294,2017,294,40.128574,20.135605,U
AL201700000296,2017,296,40.080647,20.131607,U
AL201700000298,2017,298,40.065765,20.109299,U
AL201700000299,2017,299,40.0761,20.123808,U
AL201700000300,2017,300,40.086197,20.133675,U
AL201700000301,2017,301,40.065796,20.137806,U
AL201700000302,2017,302,40.08102,20.142479,U
AL201700000305,2017,305,40.0853,20.153053,U
AL201700000307,2017,307,40.07018,20.140072,U
AL201700000312,2017,312,40.240555,20.355696,U
AL201700000313,2017,313,40.292942,20.252394,U
AL201700000314,2017,314,40.22725,20.35081,U
AL201700000320,2017,320,40.28357,20.02452,U
AL201700000323,2017,323,40.30559,20.005548,U
AL201700000324,2017,324,40.014305,20.165304,R
AL201700000329,2017,329,40.040367,20.167854,R
AL201700000336,2017,336,40.2975,20.2542,R
AL201700000339,2017,339,40.355625,20.17011,R
AL201700000359,2017,359,40.613228,20.775105,U
AL201700000360,2017,360,40.600784,20.779634,U
AL201700000368,2017,368,40.63538,20.77451,U
AL201700000373,2017,373,40.902954,20.649797,U
AL201700000377,2017,377,40.66301,20.998915,R
AL201700000378,2017,378,40.491665,20.949339,R
AL201700000380,2017,380,40.619015,20.875769,R
AL201700000381,2017,381,40.64144,20.895763,R
AL201700000387,2017,387,40.71172,20.598272,R
AL201700000392,2017,392,40.7595,20.848967,R
AL201700000395,2017,395,40.672802,20.732325,R
AL201700000401,2017,401,40.882366,20.635942,R
AL201700000402,2017,402,40.886158,20.654554,R
AL201700000403,2017,403,40.835873,20.761305,R
AL201700000408,2017,408,42.190937,20.42336,U
AL201700000413,2017,413,42.07353,20.412243,U
AL201700000415,2017,415,42.083714,20.413847,U
AL201700000416,2017,416,42.082535,20.423567,U
AL201700000432,2017,432,42.22374,20.417507,R
AL201700000437,2017,437,41.99724,20.414942,R
AL201700000441,2017,441,42.086002,20.266684,R
AL201700000442,2017,442,42.077194,20.23002,R
AL201700000444,2017,444,42.000656,20.545269,R
AL201700000450,2017,450,41.98452,20.524027,R
AL201700000452,2017,452,41.87063,20.530405,R
AL201700000454,2017,454,42.315475,20.083866,R
AL201700000456,2017,456,42.291363,20.038132,R
AL201700000458,2017,458,42.37318,20.05743,R
AL201700000459,2017,459,42.433586,20.013918,R
AL201700000467,2017,467,41.58709,19.701275,U
AL201700000479,2017,479,41.811256,19.595705,U
AL201700000480,2017,480,41.770176,19.643341,U
AL201700000482,2017,482,41.763523,19.863443,U
AL201700000485,2017,485,41.70842,19.97695,U
AL201700000488,2017,488,41.62917,19.703392,R
AL201700000491,2017,491,41.603672,19.72422,R
AL201700000493,2017,493,41.57718,19.703783,R
AL201700000501,2017,501,41.85131,19.68995,R
AL201700000502,2017,502,41.75884,19.706161,R
AL201700000503,2017,503,41.776264,19.672062,R
AL201700000505,2017,505,41.704437,19.664999,R
AL201700000506,2017,506,41.707996,19.655748,R
AL201700000523,2017,523,42.050976,19.492731,U
AL201700000541,2017,541,42.077164,19.52328,U
AL201700000554,2017,554,41.97224,19.463285,R
AL201700000555,2017,555,42.058434,19.484386,R
AL201700000561,2017,561,41.998207,19.561628,R
AL201700000565,2017,565,42.12058,19.569345,R
AL201700000570,2017,570,42.125946,19.530857,R
AL201700000573,2017,573,41.922676,19.40519,R
AL201700000577,2017,577,41.074745,19.67105,U
AL201700000578,2017,578,41.377506,19.751657,U
AL201700000582,2017,582,41.347603,19.796669,U
AL201700000583,2017,583,41.338814,19.796284,U
AL201700000584,2017,584,41.335705,19.805609,U
AL201700000589,2017,589,41.324184,19.77958,U
AL201700000591,2017,591,41.33035,19.782656,U
AL201700000592,2017,592,41.310204,19.755505,U
AL201700000599,2017,599,41.316376,19.810495,U
AL201700000601,2017,601,41.32662,19.816158,U
AL201700000606,2017,606,41.32505,19.808842,U
AL201700000609,2017,609,41.33215,19.833408,U
AL201700000616,2017,616,41.341812,19.83577,U
AL201700000628,2017,628,41.33423,19.834484,U
AL201700000652,2017,652,41.31557,19.84663,R
AL201700000655,2017,655,41.418102,19.763025,R
AL201700000656,2017,656,39.95487,20.102234,U
AL201700000662,2017,662,39.87455,20.005367,U
AL201700000666,2017,666,40.430943,19.495094,U
AL201700000670,2017,670,40.458725,19.496262,U
AL201700000672,2017,672,40.463966,19.479452,U
AL201700000674,2017,674,40.472553,19.494095,U
AL201700000685,2017,685,40.469227,19.48432,U
AL201700000687,2017,687,40.468338,19.494383,U
AL201700000695,2017,695,39.872543,20.05096,R
AL201700000696,2017,696,39.844383,20.132704,R
AL201700000701,2017,701,39.855335,20.02647,R
AL201700000703,2017,703,39.77718,20.005085,R
AL201700000705,2017,705,40.369144,19.607641,R
AL201700000706,2017,706,40.57844,19.498611,R
AL201700000708,2017,708,40.640575,19.397322,R
AL201700000710,2017,710,40.53639,19.5112,R
AL201700000712,2017,712,40.501022,19.543123,R
AL201700000715,2017,715,40.47424,19.681837,R
AM201500000007,2015,7,40.21047,44.56201,U
AM201500000009,2015,9,40.21037,44.505077,U
AM201500000010,2015,10,40.20201,44.51138,U
AM201500000017,2015,17,40.161858,44.51499,U
AM201500000020,2015,20,40.162327,44.542114,U
AM201500000029,2015,29,40.174942,44.44758,U
AM201500000034,2015,34,40.202076,44.572445,U
AM201500000040,2015,40,40.14338,44.45945,U
AM201500000041,2015,41,40.15459,44.4934,U
AM201500000046,2015,46,40.230732,44.54872,U
AM201500000055,2015,55,40.307682,44.36533,U
AM201500000070,2015,70,40.3638,44.040268,R
AM201500000072,2015,72,39.944077,44.55529,U
AM201500000085,2015,85,39.850655,44.68457,U
AM201500000091,2015,91,39.930187,44.577793,R
AM201500000094,2015,94,40.064686,44.431595,U
AM201500000098,2015,98,40.122086,44.40156,R
AM201500000101,2015,101,40.149292,44.0279,U
AM201500000103,2015,103,40.17156,44.023476,U
AM201500000105,2015,105,40.135986,44.131775,U
AM201500000119,2015,119,40.169052,44.325085,U
AM201500000123,2015,123,40.17734,44.33879,R
AM201500000126,2015,126,40.04323,44.154675,R
AM201500000139,2015,139,40.124393,45.375694,R
AM201500000140,2015,140,40.149837,45.42797,R
AM201500000141,2015,141,40.14166,45.276905,R
AM201500000142,2015,142,40.10249,45.447968,R
AM201500000145,2015,145,40.55558,44.965355,U
AM201500000147,2015,147,40.550484,44.956585,U
AM201500000148,2015,148,40.488213,44.91891,R
AM201500000160,2015,160,40.80504,44.53327,U
AM201500000162,2015,162,40.81938,44.492664,U
AM201500000171,2015,171,41.101463,44.426895,U
AM201500000172,2015,172,41.066864,44.504555,R
AM201500000180,2015,180,41.01536,44.263935,R
AM201500000192,2015,192,40.40857,44.647633,U
AM201500000208,2015,208,40.189415,44.60963,R
AM201500000212,2015,212,40.33414,44.593674,R
AM201500000213,2015,213,40.273262,44.506306,R
AM201500000215,2015,215,40.76723,43.84549,U
AM201500000217,2015,217,40.71361,43.846745,U
AM201500000220,2015,220,40.801834,43.819424,U
AM201500000222,2015,222,40.800064,43.842262,U
AM201500000225,2015,225,40.80399,43.84606,U
AM201500000226,2015,226,40.831482,43.82359,U
AM201500000227,2015,227,40.829853,43.830124,U
AM201500000228,2015,228,40.823864,43.84217,U
AM201500000234,2015,234,40.939312,43.757175,R
AM201500000236,2015,236,40.52739,43.90269,R
AM201500000238,2015,238,40.629856,43.980453,U
AM201500000240,2015,240,40.65822,43.826805,R
AM201500000246,2015,246,39.21354,46.397415,U
AM201500000247,2015,247,39.193897,46.399563,U
AM201500000251,2015,251,39.146595,46.28463,R
AM201500000254,2015,254,39.506554,46.351646,U
AM201500000266,2015,266,39.467434,46.19117,R
AM201500000270,2015,270,39.767128,45.32487,U
AM201500000278,2015,278,39.71733,45.39714,R
AM201500000279,2015,279,39.844734,45.313164,R
AM201500000280,2015,280,39.893406,45.490295,R
AM201500000282,2015,282,39.690346,45.454525,U
AM201500000285,2015,285,39.821712,45.66608,U
AM201500000288,2015,288,39.6169,45.5776,R
AM201500000290,2015,290,40.858177,45.12023,U
AM201500000292,2015,292,40.868874,45.1456,U
AM201500000293,2015,293,40.888817,45.14762,U
AM201500000294,2015,294,40.717354,44.841694,U
AM201500000295,2015,295,40.73765,44.83374,U
AM201500000296,2015,296,40.742455,44.81569,U
AM201500000297,2015,297,40.734085,44.873188,U
AM201500000298,2015,298,40.735435,44.88418,U
AM201500000299,2015,299,40.779007,44.925243,R
AM201500000303,2015,303,41.020897,45.04318,R
AM201500000307,2015,307,41.17702,44.932976,R
AM201500000308,2015,308,41.21898,44.922478,R
AM201500000310,2015,310,40.856293,45.36867,U
AM201500000311,2015,311,40.927116,45.30904,R
BD200700000003,2007,3,22.096128,90.07124,R
BD200700000008,2007,8,22.83058,90.19816,R
BD200700000010,2007,10,22.764652,90.371826,R
BD200700000024,2007,24,22.357702,90.58265,R
BD200700000027,2007,27,21.854593,90.13529,R
BD200700000029,2007,29,22.374266,90.349846,R
BD200700000033,2007,33,22.689905,89.9512,R
BD200700000035,2007,35,22.54482,90.34539,U
BD200700000036,2007,36,22.718594,90.36448,U
BD200700000037,2007,37,22.701723,90.366035,U
BD200700000038,2007,38,22.7059,90.37637,U
BD200700000043,2007,43,22.588839,89.97164,U
BD200700000045,2007,45,22.708832,90.3815,U
BD200700000046,2007,46,22.708414,90.633484,U
BD200700000052,2007,52,23.95419,91.0527,R
BD200700000059,2007,59,22.183678,91.882935,R
BD200700000062,2007,62,21.9877,92.137695,R
BD200700000063,2007,63,22.282396,91.98344,R
BD200700000064,2007,64,22.442327,92.067345,R
BD200700000068,2007,68,23.11846,91.329384,R
BD200700000069,2007,69,23.482584,90.7979,R
BD200700000071,2007,71,23.385162,91.256584,R
BD200700000075,2007,75,21.579378,92.03352,R
BD200700000079,2007,79,22.901342,91.42903,R
BD200700000088,2007,88,22.451132,91.80191,U
BD200700000089,2007,89,22.367966,91.86945,U
BD200700000091,2007,91,22.284258,91.77813,U
BD200700000094,2007,94,22.403984,91.84717,U
BD200700000095,2007,95,22.367235,91.82698,U
BD200700000099,2007,99,22.579172,91.68971,U
BD200700000100,2007,100,22.22637,92.19906,U
BD200700000103,2007,103,23.47823,91.001396,U
BD200700000105,2007,105,23.012037,91.39636,U
BD200700000107,2007,107,21.649197,92.30596,U
BD200700000110,2007,110,23.040829,91.52083,U
BD200700000113,2007,113,23.620497,90.132385,R
BD200700000116,2007,116,23.972975,90.60115,R
BD200700000121,2007,121,24.834171,89.71042,R
BD200700000123,2007,123,24.474836,90.66106,R
BD200700000127,2007,127,23.399054,90.21231,R
BD200700000128,2007,128,23.805927,90.01378,R
BD200700000129,2007,129,23.83382,90.18164,R
BD200700000134,2007,134,24.601109,90.700836,R
BD200700000139,2007,139,24.06808,90.905396,R
BD200700000142,2007,142,25.0373,90.63742,R
BD200700000152,2007,152,24.648014,90.022835,R
BD200700000153,2007,153,24.015823,90.00518,R
BD200700000154,2007,154,23.814995,90.42695,U
BD200700000163,2007,163,23.807465,90.349655,U
BD200700000164,2007,164,23.782457,90.367455,U
BD200700000168,2007,168,23.738188,90.38434,U
BD200700000170,2007,170,23.800777,90.341255,U
BD200700000172,2007,172,23.714108,90.39887,U
BD200700000177,2007,177,23.59252,90.51788,U
BD200700000179,2007,179,23.601763,90.51572,U
BD200700000182,2007,182,24.054756,90.98777,U
BD200700000183,2007,183,23.521614,90.53005,U
BD200700000187,2007,187,23.916899,90.20758,U
BD200700000188,2007,188,23.206356,90.045784,U
BD200700000200,2007,200,23.16898,89.27843,R
BD200700000204,2007,204,23.527344,89.13515,R
BD200700000207,2007,207,22.719528,89.53795,R
BD200700000209,2007,209,22.382986,89.31512,R
BD200700000217,2007,217,23.5918,89.40017,R
BD200700000220,2007,220,23.22839,89.553894,R
BD200700000223,2007,223,22.40709,89.06453,R
BD200700000227,2007,227,22.8969,89.519226,U
BD200700000237,2007,237,23.152985,89.2262,U
BD200700000246,2007,246,24.816814,89.03639,R
BD200700000247,2007,247,24.870996,89.38437,R
BD200700000256,2007,256,25.204798,89.46652,R
BD200700000258,2007,258,25.569103,89.44005,R
BD200700000260,2007,260,25.237919,88.95506,R
BD200700000263,2007,263,25.956638,89.37605,R
BD200700000264,2007,264,25.90091,89.41466,R
BD200700000265,2007,265,24.968456,88.93304,R
BD200700000266,2007,266,24.788946,88.72699,R
BD200700000271,2007,271,24.617516,89.30184,R
BD200700000293,2007,293,24.363556,88.65486,U
BD200700000294,2007,294,24.464958,88.57744,U
BD200700000295,2007,295,24.823687,88.96696,U
BD200700000297,2007,297,25.640238,88.62952,U
BD200700000300,2007,300,24.821745,88.93372,U
BD200700000301,2007,301,24.406256,88.996895,U
BD200700000302,2007,302,24.599356,88.25758,U
BD200700000304,2007,304,24.008823,89.23308,U
BD200700000305,2007,305,26.319029,88.55329,U
BD200700000311,2007,311,25.952541,89.54191,U
BD200700000312,2007,312,24.720852,88.97763,U
BD200700000313,2007,313,24.081886,89.04728,U
BD200700000315,2007,315,24.577473,91.271515,R
BD200700000320,2007,320,24.23151,91.231766,R
BD200700000321,2007,321,24.14345,91.325,R
BD200700000328,2007,328,24.565018,91.8258,R
BD200700000334,2007,334,25.08504,91.6903,R
BD200700000341,2007,341,24.682247,91.961464,R
BD200700000342,2007,342,24.84153,92.005516,R
BD200700000343,2007,343,25.154493,91.92155,R
BD200700000345,2007,345,24.822704,91.862495,R
BD200700000350,2007,350,24.490452,91.75722,U
BD200700000353,2007,353,24.913237,91.86786,U
BD200700000356,2007,356,24.890646,91.89736,U
BD200700000359,2007,359,24.79024,91.372154,U
BD200700000360,2007,360,24.842077,92.15131,U
BD201100000004,2011,4,22.164846,90.09602,R
BD201100000008,2011,8,22.102543,89.92166,R
BD201100000013,2011,13,22.84988,90.05558,R
BD201100000019,2011,19,22.715837,90.36971,U
BD201100000028,2011,28,22.993572,90.36436,R
BD201100000031,2011,31,22.681248,90.64369,U
BD201100000033,2011,33,22.73013,90.66485,R
BD201100000034,2011,34,22.610666,90.64963,R
BD201100000036,2011,36,22.454477,90.67786,R
BD201100000042,2011,42,22.394045,90.76398,R
BD201100000043,2011,43,22.342823,90.73978,U
BD201100000044,2011,44,22.30267,90.978065,R
BD201100000047,2011,47,22.609287,90.22058,R
BD201100000059,2011,59,21.90297,90.13296,R
BD201100000061,2011,61,22.390806,90.3292,R
BD201100000068,2011,68,22.6029,89.9788,U
BD201100000070,2011,70,22.75997,90.12077,U
BD201100000077,2011,77,23.995201,91.00862,R
BD201100000079,2011,79,23.800074,90.97328,R
BD201100000080,2011,80,24.198866,91.04481,R
BD201100000082,2011,82,23.273932,90.743164,R
BD201100000097,2011,97,22.292782,91.789604,U
BD201100000099,2011,99,22.341751,91.83407,U
BD201100000106,2011,106,22.330929,91.83787,U
BD201100000107,2011,107,22.363329,91.78337,U
BD201100000108,2011,108,22.329802,91.80936,U
BD201100000110,2011,110,22.776512,91.49546,R
BD201100000112,2011,112,22.37623,91.84078,U
BD201100000114,2011,114,22.266523,91.78915,U
BD201100000116,2011,116,22.532475,91.91074,U
BD201100000120,2011,120,23.40503,90.99946,R
BD201100000121,2011,121,23.648184,91.12615,R
BD201100000124,2011,124,23.31529,91.2887,R
BD201100000130,2011,130,23.46602,91.20303,U
BD201100000133,2011,133,23.646257,90.98176,R
BD201100000140,2011,140,21.362673,92.09426,R
BD201100000149,2011,149,22.956923,90.82064,U
BD201100000152,2011,152,23.027859,90.88185,R
BD201100000157,2011,157,22.267225,91.15722,U
BD201100000171,2011,171,23.851503,90.165016,R
BD201100000175,2011,175,23.716337,90.4303,U
BD201100000178,2011,178,23.756575,90.43789,U
BD201100000183,2011,183,23.789103,90.35824,U
BD201100000185,2011,185,23.709684,90.417725,U
BD201100000188,2011,188,23.809668,90.35427,U
BD201100000194,2011,194,23.727694,90.379875,U
BD201100000195,2011,195,23.786646,90.38729,U
BD201100000211,2011,211,25.160837,89.76186,U
BD201100000219,2011,219,24.43933,90.89229,R
BD201100000220,2011,220,24.385303,90.82371,R
BD201100000227,2011,227,23.835884,89.869484,R
BD201100000230,2011,230,23.522625,90.42559,R
BD201100000233,2011,233,24.624216,90.20348,R
BD201100000236,2011,236,24.647047,90.54657,R
BD201100000237,2011,237,24.718435,90.4428,U
BD201100000239,2011,239,24.524513,90.53635,R
BD201100000241,2011,241,24.603788,90.42257,R
BD201100000242,2011,242,23.786428,90.65694,R
BD201100000243,2011,243,23.735512,90.54913,R
BD201100000249,2011,249,23.922142,90.7186,U
BD201100000252,2011,252,24.053223,90.751114,R
BD201100000256,2011,256,24.890203,90.74444,U
BD201100000261,2011,261,23.14624,90.356026,R
BD201100000264,2011,264,24.93991,90.03273,R
BD201100000271,2011,271,24.028803,89.963394,R
BD201100000272,2011,272,24.047749,89.86397,U
BD201100000278,2011,278,22.558449,89.87545,R
BD201100000281,2011,281,22.321924,89.7889,U
BD201100000283,2011,283,23.651323,88.844086,U
BD201100000287,2011,287,23.4366,88.857895,R
BD201100000293,2011,293,22.865274,89.24614,R
BD201100000295,2011,295,23.162603,89.15462,R
BD201100000297,2011,297,23.022535,89.26765,U
BD201100000299,2011,299,23.024973,89.20822,R
BD201100000304,2011,304,23.551764,89.19111,R
BD201100000308,2011,308,23.28853,88.77124,R
BD201100000313,2011,313,22.86116,89.48844,U
BD201100000314,2011,314,22.827017,89.37622,R
BD201100000322,2011,322,22.364643,89.29158,R
BD201100000323,2011,323,22.6026,89.347046,R
BD201100000328,2011,328,24.097448,88.94004,R
BD201100000331,2011,331,23.992666,88.95091,R
BD201100000332,2011,332,23.8283,89.32982,R
BD201100000338,2011,338,23.491991,89.41785,U
BD201100000344,2011,344,23.769505,88.64932,U
BD201100000349,2011,349,22.534393,89.174644,U
BD201100000351,2011,351,22.590195,89.03274,R
BD201100000352,2011,352,22.953867,89.00014,R
BD201100000353,2011,353,22.383177,89.05979,R
BD201100000354,2011,354,22.689087,89.06652,U
BD201100000356,2011,356,22.338772,89.157265,R
BD201100000364,2011,364,24.786907,89.54472,R
BD201100000366,2011,366,24.854088,89.21178,R
BD201100000371,2011,371,24.68173,89.41783,R
BD201100000373,2011,373,24.933622,89.25261,R
BD201100000380,2011,380,24.640104,88.93628,R
